127.0.0.1 - - [28/Jun/2022:14:04:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:04:48 +0530] "GET /Project_4/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:04:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:04:51 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:04:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:04:54 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:04:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:04:57 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:04:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:05:07 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3575
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:05:07 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3575
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:05:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:05:21 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:05:21 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3195
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:05:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:05:47 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 5151
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:05:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:14:00 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:14:02 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 7454
