127.0.0.1 - - [19/Jul/2022:16:39:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:39:43 +0530] "GET /Project_4/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:39:43 +0530] "GET /Project_4/img/rays.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:39:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:39:59 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:39:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:40:09 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:40:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:40:12 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:40:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:41:37 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:41:38 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 5862
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:41:38 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:41:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:42:32 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:42:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:42:32 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 783
